Sentences,Figure_OF_Speech
"“Food?”  Chris inquired, popping out of his seat like a toaster strudel.",Alliteration
Grandpa lounged on the raft in the middle of the pool like an old battleship.,Alliteration
"If seen from above the factory, the workers would have looked like clock parts.",Alliteration
The truth was like a bad taste on his tongue.,Alliteration
The people who still lived in the town were stuck in place like wax statues.,Alliteration
Cassie talked to her son about girls as though she were giving him tax advice.,Alliteration
"Alan’s jokes were like flat soda to the children, surprisingly unpleasant.",Alliteration
"My mother’s kitchen was like a holy place: you couldn’t wear your shoes, you had to sit there at a certain time, and occasionally we’d pray.",Alliteration
The bottle rolled off the table like a teardrop.,Alliteration
The handshake felt like warm laundry.,Alliteration
She hung her head like a dying flower.,Alliteration
Arguing with her was like dueling with hand grenades.,Alliteration
The classroom was as quiet as a tongue-tied librarian in a hybrid car.,Alliteration
Janie’s boyfriend appreciated her as an ape might appreciate an algebra book.,Alliteration
The clouds were like ice-cream castles in the sky.,Alliteration
The shingles on the shack shook in the storm winds like scared children.,Alliteration
"When he reached the top of the hill, he felt as strong as a steel gate.",Alliteration
"When the tree branch broke, Millie fell from the limb like a robin’s egg.",Alliteration
She swam through the waters like she was falling through a warm dream.,Alliteration
They children ran like ripples through water.,Alliteration
Mikhail scattered his pocket change in front of the beggars like crumbs of bread.,Alliteration
Her hair was as soft as a spider web.,Alliteration
Each dollar bill was a like a magic wand to cast away problems.,Alliteration
The man held the blanket like a memory.,Alliteration
The ice sculptor’s hands fluttered like hummingbird wings.,Alliteration
I’m about as awesome as a flying giraffe.,Alliteration
You are soft as the nesting dove.,Alliteration
Andre charged down the football field like it was the War of 1812.,Alliteration
The stars looked like stupid little fish.,Alliteration
Her laughter was like a warm blanket or a familiar song.,Alliteration
The river flows like a stream of glass,Alliteration
Blood seeped out of the wound like red teardrops.,Alliteration
Paul carried his science project to school like he was transporting explosive glass.,Alliteration
She looked at me like I was speaking in some strange alien tongue.,Alliteration
The town square was buzzing like a beehive.,Alliteration
Kelsey followed her dreams like most kids would follow a big sister.,Alliteration
Kyle looked at the test with a stare as blank as his notebook.,Alliteration
"The robins are as thick today as flakes of snow were yesterday,",Alliteration
Her eyes are like the eyes of statues.,Alliteration
The gray moss drapes us like sages.,Alliteration
The music burst like a bent-up flood.,Alliteration
The curtains stir as with an ancient pain.,Alliteration
But now her hands like moonlight brush the keys with velvet grace.,Alliteration
I flitted like a dizzy moth.,Alliteration
The flowers were as soft as thoughts of budding love.,Alliteration
"The gray of the sea, and the gray of the sky, / A glimpse of the moon like a half-closed eye.",Alliteration
"Yes, the doors are locked and the ashes are white as the frost.",Alliteration
A mist about your beauty clings like a thin cloud before a star.,Alliteration
She went like snow in the springtime on a sunny hill.,Alliteration
"Then I knew those tiny voices, clear as drops of dew.",Alliteration
I dream of silent verses where the rhyme glides noiseless as an oar.,Alliteration
"Though they knew it not, their baby’s cries were lovely as jeweled butterflies.",Alliteration
He kissed her as though he were trying to win a sword fight.,Alliteration
The paparazzi circled like vultures above a tottering camel.,Alliteration
"She was as distant as a remote tropical island, uncivilized, unspoiled.",Alliteration
"Our hearts, though stout and brave, still, like muffled drums, are beating funeral marches to the grave.",Alliteration
"He had hidden his wealth, heaped and hoarded and piled on high like sacks of wheat in a granary.",Alliteration
Pieces of silver and of gold / Into the tinkling strong-box fell / Like pebbles dropped into a well;,Alliteration
The cabin windows have grown blank as eyeballs of the dead.,Alliteration
What passing-bells for these who die as cattle?,Alliteration
"Each face was like the setting sun, / As, broad and red.",Alliteration
"Barefooted, ragged, with neglected hair, she was a thin slip of a girl, like a new moon.",Alliteration
"A fatal letter wings its way across the sea, like a bird of prey.",Alliteration
